Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
East,Self Employed,459.63,1,41.51,Christianity,Male
East,Self Employed,103.56,2,11.19,Christianity,Male
East,Self Employed,122.91,1,9.61,Christianity,Female
East,Self Employed,26.43,1,2.73,Christianity,Male
East,Self Employed,24.72,2,2.49,Christianity,Female
East,Self Employed,22.68,2,1.75,Christianity,Male
North,Employed,212.1,1,65.35,Atheist,Male
West,Employed,848.4,4,44.43,Christianity,Female
North,Employed,102.72,2,13.97,Atheist,Male
North,Employed,19.8,1,5.81,Atheist,Female
North,Self Employed,90.24,1,15.76,Islam,Male
West,Unemployed,196.8,4,19.24,Christianity,Male
West,Self Employed,95.16,2,5.19,Christianity,Female
West,Self Employed,277.14,2,7.42,Christianity,Male
East,Employed,16.29,1,1.4,Christianity,Female
West,Employed,73.02,2,7.69,Christianity,Male
West,Employed,13.44,2,1.11,Christianity,Male
West,Employed,11.85,1,1.41,Christianity,Female
South,Self Employed,53.97,1,4.2,Christianity,Male
South,Self Employed,6.69,1,1.04,Christianity,Female
West,Employed,102.84,2,9.85,Islam,Male
North,Self Employed,20.16,2,2.99,Christianity,Male
West,Employed,168.96,2,6.74,Christianity,Female
North,Employed,193.2,4,19.68,Islam,Male
West,Self Employed,6.9,1,1.57,Christianity,Female
South,Employed,18.99,1,4.21,Islam,Male
West,Self Employed,107.64,4,9.85,Islam,Male
West,Self Employed,48.39,1,5.48,Islam,Female
West,Unemployed,29.67,1,2.05,Christianity,Male
West,Employed,20.52,2,2,Traditional,Female
West,Self Employed,113.76,2,9.13,Christianity,Male
East,Self Employed,1704.96,12,233.11,Islam,Male
East,Self Employed,54.54,1,3.14,Islam,Female
East,Self Employed,17.97,1,2.33,Islam,Male
East,Self Employed,7.98,2,1.73,Islam,Female
East,Self Employed,12.54,2,1.66,Islam,Male
West,Self Employed,142.74,6,12,Christianity,Male
West,Self Employed,19.56,4,1.16,Christianity,Female
North,Employed,7.26,1,1.99,Atheist,Male
West,Self Employed,21.72,2,1.65,Christianity,Female
East,Unemployed,2270.34,6,294.25,Christianity,Male
East,Unemployed,148.74,1,3.23,Christianity,Male
West,Self Employed,97.56,2,10.28,Islam,Female
West,Self Employed,39.96,6,2.9,Islam,Male
West,Self Employed,5.91,1,1.91,Islam,Female
West,Self Employed,84.72,1,1.5,Islam,Male
South,Self Employed,410.88,8,59.79,Islam,Male
West,Employed,294.6,2,19.95,Christianity,Female
East,Employed,14.01,1,2.26,Islam,Male
West,Employed,53.52,4,8.2,Islam,Female
East,Unemployed,587.76,4,61,Islam,Male
East,Unemployed,131.94,6,18.09,Islam,Male
East,Unemployed,50.46,1,9.65,Atheist,Female
East,Unemployed,4.17,1,1.69,Atheist,Male
West,Self Employed,115.74,2,10.92,Islam,Female
East,Employed,162,4,34.55,Islam,Male
East,Employed,127.89,1,8.88,Islam,Male
East,Employed,30.3,2,2.25,Islam,Female
East,Employed,6.48,1,1.63,Islam,Male
East,Self Employed,29.85,1,2.01,Christianity,Female
East,Self Employed,365.22,2,23.48,Christianity,Male
East,Self Employed,66.24,4,8.51,Christianity,Male
South,Self Employed,967.32,6,193.25,Christianity,Female
South,Self Employed,31.14,2,4.75,Christianity,Male
South,Self Employed,27.09,1,4.31,Christianity,Female
West,Self Employed,600.36,2,52.98,Christianity,Male
West,Self Employed,101.1,2,6.8,Christianity,Male
West,Self Employed,150.12,1,8.56,Christianity,Female
West,Self Employed,23.91,1,1.88,Christianity,Male
West,Self Employed,49.47,1,1.22,Christianity,Female
North,Self Employed,735.48,6,72.34,Islam,Male
West,Employed,336.36,2,8.59,Christianity,Male
West,Employed,198.72,8,15.42,Christianity,Female
West,Employed,29.61,1,3.32,Christianity,Male
West,Employed,16.98,1,1.77,Christianity,Female
East,Self Employed,1539.36,6,93.09,Christianity,Male
East,Self Employed,508.32,2,61.55,Christianity,Male
East,Self Employed,137.16,1,10.64,Christianity,Female
East,Self Employed,52.08,2,5.87,Christianity,Male
East,Self Employed,27.69,1,3.11,Christianity,Female
West,Employed,6.12,1,1.87,Traditional,Male
West,Unemployed,60.48,4,6.63,Traditional,Male
West,Unemployed,46.59,1,5.57,Traditional,Female
West,Self Employed,456.84,6,28.18,Christianity,Male
West,Self Employed,351.9,2,19.86,Christianity,Female
West,Self Employed,322.44,2,17.78,Christianity,Male
West,Self Employed,303.66,2,14.33,Christianity,Male
West,Self Employed,79.29,1,8.49,Christianity,Female
West,Self Employed,47.34,1,2.36,Christianity,Male
West,Employed,13.2,1,1.3,Christianity,Female
North,Employed,29.28,1,3.84,Islam,Male
West,Self Employed,204.15,1,29.85,Islam,Male
North,Self Employed,166.68,1,20.71,Islam,Female
North,Self Employed,121.92,4,3.14,Islam,Male
East,Employed,103.26,2,17.09,Islam,Female
East,Employed,279.72,6,16.91,Islam,Male
East,Employed,121.05,1,8.17,Islam,Male
East,Employed,52.86,2,3.82,Islam,Female
East,Employed,9.33,1,1.17,Islam,Male
West,Self Employed,29.22,2,2.81,Islam,Female
West,Self Employed,24.36,1,1.38,Christianity,Male
West,Employed,66,4,4.92,Christianity,Male
West,Employed,49.77,1,2.65,Christianity,Female
West,Employed,22.8,2,1.69,Christianity,Male
South,Self Employed,28.38,1,5.12,Islam,Female
North,Employed,300.18,1,95.49,Atheist,Male
North,Employed,253.02,2,76.25,Atheist,Male
North,Employed,277.89,1,72.6,Atheist,Female
North,Employed,116.88,4,11.19,Atheist,Male
North,Employed,8.76,1,2,Atheist,Female
North,Employed,3.99,1,1.54,Atheist,Male
East,Unemployed,16.5,1,3.05,Islam,Male
West,Self Employed,40.98,2,3.31,Christianity,Female
West,Self Employed,6.99,1,1.15,Christianity,Male
West,Unemployed,139.5,6,12,Christianity,Female
West,Unemployed,153.6,8,11.49,Christianity,Male
West,Unemployed,123.12,4,11,Christianity,Male
West,Unemployed,33.96,2,4.04,Christianity,Female
East,Self Employed,152.28,6,16.41,Christianity,Male
West,Self Employed,22.08,2,2.67,Islam,Female
North,Unemployed,32.16,4,3.81,Islam,Male
West,Self Employed,41.4,6,2.82,Christianity,Male
West,Self Employed,56.91,1,7.54,Traditional,Female
West,Unemployed,92.64,2,1.94,Christianity,Male
West,Employed,364.14,2,44.6,Christianity,Female
West,Employed,21.99,1,1.07,Christianity,Male
West,Self Employed,69.96,4,3.49,Christianity,Male
East,Unemployed,743.58,6,120.86,Islam,Female
East,Unemployed,63.9,2,13.78,Islam,Male
East,Unemployed,23.52,1,1.59,Islam,Female
West,Self Employed,61.29,1,5.2,Islam,Male
West,Self Employed,43.68,4,4.74,Islam,Male
West,Self Employed,124.68,4,9.39,Christianity,Female
West,Self Employed,17.52,1,1.54,Christianity,Male
South,Self Employed,282.9,2,47.62,Islam,Female
South,Self Employed,32.19,1,8.27,Islam,Male
South,Self Employed,19.02,2,4.73,Islam,Male
West,Employed,846.6,4,43.94,Christianity,Female
West,Employed,102.18,2,6.6,Christianity,Male
West,Employed,56.46,2,2.24,Christianity,Female
West,Unemployed,15.75,1,1.4,Christianity,Male
West,Employed,108.66,1,10.17,Islam,Male
East,Employed,23.7,2,2.18,Atheist,Female
West,Self Employed,55.38,2,6.54,Islam,Male
West,Employed,137.31,1,11.13,Islam,Female
South,Employed,9.27,1,2.21,Islam,Male
East,Self Employed,148.5,2,15.76,Christianity,Male
West,Self Employed,1758,4,75.28,Christianity,Female
West,Self Employed,162.84,4,10.45,Christianity,Male
West,Self Employed,46.41,1,3.35,Christianity,Female
West,Self Employed,18.84,1,1.75,Christianity,Male
North,Employed,58.83,1,13.61,Islam,Male
North,Employed,114,4,2.05,Islam,Female
West,Self Employed,538.44,4,88.05,Islam,Male
West,Self Employed,56.82,1,7.44,Islam,Female
West,Self Employed,43.86,1,3.5,Islam,Male
West,Self Employed,26.58,2,2.92,Islam,Male
East,Self Employed,96,2,11.09,Islam,Female
North,Self Employed,349.32,2,39.16,Christianity,Male
East,Unemployed,319.92,1,62,Islam,Female
East,Unemployed,311.25,1,31.3,Islam,Male
East,Unemployed,178.2,6,24.71,Islam,Male
East,Unemployed,12.9,1,1.44,Islam,Female
West,Self Employed,107.94,2,11.91,Islam,Male
West,Self Employed,17.46,1,3.5,Islam,Female
West,Self Employed,133.38,6,7.18,Christianity,Male
West,Self Employed,570.15,1,44.1,Christianity,Male
West,Self Employed,171.09,1,7.98,Christianity,Female
West,Self Employed,136.59,1,5.24,Christianity,Male
West,Self Employed,71.04,2,5.15,Christianity,Female
West,Employed,100.26,2,8.28,Christianity,Male
East,Self Employed,132,8,9.39,Christianity,Male
East,Self Employed,51.9,1,3.79,Christianity,Female
East,Self Employed,22.2,2,2.04,Christianity,Male
East,Self Employed,31.92,2,1.67,Christianity,Female
West,Self Employed,314.22,1,24.1,Christianity,Male
South,Self Employed,29.94,2,5.81,Islam,Male
South,Self Employed,34.02,2,2.83,Islam,Female
West,Self Employed,1084.68,2,109.66,Christianity,Male
North,Employed,17.01,1,1.41,Atheist,Female
West,Self Employed,53.28,1,5.99,Christianity,Male
North,Self Employed,533.61,1,133.38,Atheist,Male
West,Unemployed,90.99,1,10.72,Islam,Female
West,Unemployed,49.56,2,4.29,Traditional,Male
West,Self Employed,409.26,2,14.45,Christianity,Female
West,Self Employed,18.99,1,1.41,Christianity,Male
East,Unemployed,97.02,2,8.39,Christianity,Male
West,Self Employed,28.98,2,2.07,Christianity,Female
West,Self Employed,51.36,1,1.9,Christianity,Male
West,Employed,41.43,1,2.85,Christianity,Female
West,Employed,116.28,6,14.96,Traditional,Male
West,Employed,13.56,1,2.12,Traditional,Male
West,Employed,258.75,1,15.03,Christianity,Female
West,Employed,374.4,12,14.59,Christianity,Male
North,Unemployed,276.6,1,46.69,Islam,Female
North,Unemployed,37.2,1,7.41,Islam,Male
North,Unemployed,96.99,1,6.88,Islam,Male
North,Unemployed,29.73,1,3.92,Islam,Female
North,Self Employed,551.16,4,164.36,Islam,Male
North,Self Employed,246.48,4,65.81,Islam,Female
North,Self Employed,493.2,4,18.19,Islam,Male
North,Self Employed,30.48,1,6.7,Islam,Male
North,Self Employed,12.36,1,3.1,Islam,Female
North,Self Employed,11.76,1,2.24,Islam,Male
East,Self Employed,4.8,1,1.35,Christianity,Female
East,Employed,17.19,1,1.69,Christianity,Male
North,Self Employed,35.97,1,6.54,Islam,Male
North,Self Employed,282.6,10,1.55,Islam,Female
North,Unemployed,130.44,2,1.81,Christianity,Male
East,Unemployed,603.54,2,92.65,Islam,Female
West,Employed,87.84,6,7.97,Christianity,Male
West,Unemployed,272.76,2,23.65,Christianity,Male
West,Unemployed,10.29,1,1.7,Christianity,Female
North,Unemployed,558.42,2,60.8,Christianity,Male
North,Unemployed,369.84,2,28.34,Christianity,Female
North,Unemployed,73.95,1,6.3,Christianity,Male
West,Unemployed,460.08,4,35.03,Christianity,Male
West,Unemployed,48.39,1,4.67,Christianity,Female
West,Unemployed,16.05,1,1.62,Christianity,Male
West,Unemployed,20.16,2,1.38,Christianity,Female
West,Unemployed,15.6,2,1.08,Christianity,Male
West,Employed,193.68,4,14.85,Christianity,Male
West,Self Employed,51.63,1,4.06,Christianity,Female
West,Self Employed,16.5,1,2.18,Islam,Male
West,Self Employed,27.69,1,1.96,Islam,Female
West,Self Employed,654.24,1,73.01,Christianity,Male
West,Self Employed,389.52,8,16.64,Christianity,Male
West,Self Employed,105.24,2,3.61,Christianity,Female
West,Self Employed,23.76,1,1.8,Christianity,Male
West,Self Employed,12.93,1,1.15,Christianity,Female
West,Self Employed,385.56,2,35.09,Christianity,Male
West,Self Employed,144.54,6,13.99,Christianity,Male
North,Self Employed,90.96,2,9.09,Christianity,Female
North,Unemployed,170.43,1,32.46,Atheist,Male
North,Unemployed,4.53,1,1.19,Atheist,Female
West,Self Employed,176.88,2,15.45,Christianity,Male
West,Self Employed,97.56,2,3.51,Christianity,Male
West,Self Employed,20.1,2,1.78,Christianity,Female
West,Self Employed,26.88,4,2.25,Christianity,Male
West,Employed,170.34,1,13.44,Christianity,Female
South,Unemployed,15.48,1,3.27,Atheist,Male
West,Self Employed,31.44,4,2.54,Traditional,Male
West,Self Employed,22.74,2,2.16,Traditional,Female
West,Self Employed,8.4,1,1.31,Traditional,Male
North,Self Employed,248.82,1,31.11,Christianity,Female
East,Employed,137.94,1,17.43,Christianity,Male
East,Unemployed,607.68,4,48.87,Christianity,Male
East,Unemployed,52.59,1,8.91,Christianity,Female
East,Unemployed,168.18,1,6.41,Christianity,Male
East,Unemployed,46.32,1,5.87,Christianity,Female
West,Self Employed,28.8,2,1.59,Christianity,Male
North,Self Employed,22.32,1,4.06,Islam,Male
West,Employed,95.28,4,7.35,Christianity,Female
West,Employed,54.69,1,2.95,Christianity,Male
North,Self Employed,266.25,1,98.72,Atheist,Female
North,Self Employed,31.68,2,16.41,Atheist,Male
North,Self Employed,47.43,1,14.58,Atheist,Male
North,Self Employed,57,2,13.02,Atheist,Female
North,Unemployed,18.18,1,2.22,Atheist,Male
North,Employed,99.84,2,39.56,Atheist,Female
West,Unemployed,200.52,4,30.88,Islam,Male
West,Unemployed,10.95,1,1.3,Islam,Male
South,Unemployed,111.84,4,53.9,Atheist,Female
South,Unemployed,146.28,1,37.2,Atheist,Male
South,Unemployed,26.64,4,8.04,Atheist,Female
West,Self Employed,56.46,1,7.68,Islam,Male
East,Self Employed,52.59,1,9.62,Islam,Male
East,Self Employed,13.86,1,1.63,Islam,Female
West,Employed,698.64,4,17.91,Christianity,Male
West,Employed,79.5,2,4.95,Christianity,Female
South,Employed,54.66,1,15.98,Atheist,Male
East,Employed,3863.88,6,546.56,Atheist,Male
East,Employed,111.12,4,33.17,Atheist,Female
East,Employed,33.6,2,3.42,Atheist,Male
North,Self Employed,557.76,4,149.13,Islam,Female
North,Self Employed,11.43,1,1.38,Islam,Male
East,Self Employed,100.08,1,13,Islam,Male
East,Unemployed,120.06,1,6.05,Christianity,Female
North,Employed,43.95,1,11.18,Atheist,Male
West,Employed,27.63,1,2.65,Islam,Female
West,Self Employed,117.96,4,9.86,Islam,Male
East,Employed,308.07,1,53.55,Islam,Male
East,Employed,124.53,1,16.5,Islam,Female
East,Employed,16.08,2,1.66,Islam,Male
East,Employed,52.59,1,8.63,Islam,Female
East,Employed,49.98,2,8.33,Islam,Male
East,Employed,26.37,1,3.47,Islam,Male
North,Employed,15.12,1,3.01,Christianity,Female
North,Self Employed,10.95,1,1.87,Christianity,Male
North,Self Employed,9.12,2,1.75,Christianity,Female
West,Employed,388.62,2,23.37,Christianity,Male
West,Employed,254.16,1,16.01,Christianity,Male
West,Employed,520.98,2,11.22,Christianity,Female
West,Self Employed,16.71,1,1.97,Christianity,Male
West,Self Employed,16.71,1,1.53,Christianity,Female
East,Self Employed,976.08,4,217.62,Atheist,Male
West,Employed,1000.26,2,124.02,Islam,Male
East,Self Employed,75.96,4,18.6,Atheist,Female
East,Employed,76.26,2,16.59,Atheist,Male
West,Employed,176.22,1,15.88,Islam,Female
East,Self Employed,49.32,1,9.17,Atheist,Male
West,Employed,23.46,1,1.5,Christianity,Male
East,Unemployed,1288.8,10,296.08,Atheist,Female
East,Unemployed,28.23,1,1.86,Atheist,Male
West,Unemployed,638.56032,3,27.181,Christianity,Female
West,Unemployed,216.72,4,13.685,Christianity,Male
West,Unemployed,131.66,1,7.951,Christianity,Male
West,Unemployed,74.4,3,6.123,Christianity,Female
West,Self Employed,21.16,2,1.194,Christianity,Male
North,Self Employed,338.1,7,97.479,Atheist,Female
West,Unemployed,67.8,3,3.532,Christianity,Male
North,Self Employed,803.52,9,205.336,Islam,Male
West,Self Employed,78.44,2,8.32,Islam,Female
West,Self Employed,829.52,4,99.063,Islam,Male
West,Self Employed,75.12,2,14.084,Islam,Female
West,Self Employed,65.92,4,8.105,Islam,Male
West,Employed,53.9,11,3.221,Christianity,Male
West,Employed,54.12,3,2.719,Christianity,Female
North,Unemployed,721.8534,3,187.404,Islam,Male
West,Unemployed,246.84,3,37.592,Islam,Female
West,Unemployed,343.8,2,35.301,Islam,Male
West,Unemployed,74.64,4,12.817,Islam,Male
West,Unemployed,90,5,8.714,Islam,Female
West,Unemployed,73.16,1,2.589,Islam,Male
West,Unemployed,33.88,7,1.289,Islam,Female
West,Employed,2423.54,7,163.456,Christianity,Male
West,Employed,658.24,8,19.435,Christianity,Male
North,Self Employed,127.9,5,37.417,Islam,Female
South,Self Employed,135.96,3,34.9,Islam,Male
South,Unemployed,85.92,4,18.435,Atheist,Female
East,Self Employed,577.9,5,57.177,Islam,Male
West,Unemployed,508.32,9,38.257,Christianity,Male
East,Self Employed,239.28,4,18.957,Islam,Female
West,Self Employed,62.92,2,4.916,Christianity,Male
West,Employed,615.24,2,68.727,Christianity,Female
West,Employed,848.28,2,57.998,Christianity,Male
North,Self Employed,129.32,2,56.681,Atheist,Male
West,Employed,615.24,2,54.907,Christianity,Female
West,Employed,517.5,3,49.13,Christianity,Male
West,Employed,683.6,4,32.343,Christianity,Female
East,Unemployed,66,5,10.294,Islam,Male
East,Self Employed,79.2,4,8.64,Atheist,Male
East,Unemployed,88.76,2,8.243,Islam,Female
East,Unemployed,249,10,3.673,Islam,Male
West,Employed,65.12,2,2.542,Christianity,Female
North,Self Employed,9.32,2,2.473,Atheist,Male
West,Employed,36.28,2,1.597,Christianity,Male
West,Self Employed,529.15956,3,43.82,Christianity,Female
West,Self Employed,133.02,3,8.333,Christianity,Male
East,Self Employed,849.92,2,83.039,Christianity,Female
North,Self Employed,272.76,3,54.242,Atheist,Male
East,Self Employed,345.9,5,40.328,Christianity,Male
South,Self Employed,124.32,4,18.245,Islam,Female
West,Employed,224.82,3,17.058,Christianity,Male
East,Self Employed,87.76,2,10.687,Christianity,Female
South,Self Employed,27.32,2,5.814,Islam,Male
South,Self Employed,25.56,3,4.397,Christianity,Male
North,Self Employed,8.24,1,3.049,Atheist,Female
East,Employed,23.22,3,2.885,Christianity,Male
West,Unemployed,20.34,3,1.822,Christianity,Female
East,Self Employed,10.2,1,1.404,Christianity,Male
East,Self Employed,5.2,1,1.292,Christianity,Male
West,Unemployed,783.72,7,82.117,Islam,Female
West,Self Employed,24.48,2,2.93,Islam,Male
West,Employed,18.66,3,1.994,Christianity,Female
West,Unemployed,8.8,1,1.827,Islam,Male
East,Unemployed,1770.2524,7,187.391,Islam,Male
North,Employed,477.8424,3,148.192,Islam,Female
East,Self Employed,947.22,3,147.64,Islam,Male
West,Self Employed,1240.12,14,98.194,Traditional,Female
West,Self Employed,454.48,4,78.133,Islam,Male
North,Employed,686.76,6,64.709,Islam,Male
East,Unemployed,467.32,7,64.356,Christianity,Female
East,Self Employed,333.66,3,57.762,Atheist,Male
West,Self Employed,400.88,4,55.822,Islam,Female
North,Self Employed,256.16664,2,55.763,Atheist,Male
North,Self Employed,297.96,3,53.943,Christianity,Male
West,Self Employed,672.12,6,52.31,Islam,Female
West,Self Employed,408.42,9,46.357,Traditional,Male
West,Self Employed,500.576,2,43.42,Christianity,Female
West,Employed,940.96,8,42.902,Christianity,Male
